"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Belgaum","66.8 (2017)"
"Bagalkot","66 (2017)"
"Bangalore","43.6 (2017)"
"Bangalore Rural","52.1 (2017)"
"Bijapur","57.7 (2017)"
"Bidar","53.8 (2017)"
"Koppal","55.4 (2017)"
"Gadag","58.9 (2017)"
"Dharwad","57.4 (2017)"
"Haveri","52.1 (2017)"
"Bellary","57.3 (2017)"
"Chitradurga","52.6 (2017)"
"Davanagere","54.5 (2017)"
"Chikmagalur","37.6 (2017)"
"Mandya","43.7 (2017)"
"Hassan","56.4 (2017)"
"Dakshina Kannada","40.6 (2017)"
"Kodagu","41.1 (2017)"
"Mysore","44.7 (2017)"
"Chamarajanagar","48 (2017)"
"Gulbarga","48.6 (2017)"
"Kolar","46.1 (2017)"
"Chikkaballapura","41.2 (2017)"
"Raichur","54.4 (2017)"
"Uttara Kannada","51.6 (2017)"
"Shimoga","42.8 (2017)"
"Udupi","42.6 (2017)"
"Tumkur","54.7 (2017)"
"Yadgir","53.6 (2017)"
"Ramanagara","55.9 (2017)"
