"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Barpeta","54.5 (2017)"
"Cachar","57 (2017)"
"Bongaigaon","55.8 (2017)"
"Baksa","46.7 (2017)"
"Kokrajhar","56.6 (2017)"
"Dhubri","55.1 (2017)"
"Goalpara","46.7 (2017)"
"Morigaon","57.8 (2017)"
"Nagaon","53.3 (2017)"
"Sonitpur","37.9 (2017)"
"Lakhimpur","52.6 (2017)"
"Dhemaji","39.7 (2017)"
"Tinsukia","41.7 (2017)"
"Dibrugarh","46.6 (2017)"
"Sivasagar","39.6 (2017)"
"Jorhat","42.7 (2017)"
"Golaghat","40.2 (2017)"
"Karbi Anglong","43.9 (2017)"
"Dima Hasao","56 (2017)"
"Karimganj","53 (2017)"
"Hailakandi","60.8 (2017)"
"Chirang","48.7 (2017)"
"Kamrup","53.8 (2017)"
"Kamrup Metropolitan","46.3 (2017)"
"Nalbari","51 (2017)"
"Darrang","45.9 (2017)"
"Udalguri","43.7 (2017)"
