"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Dhule","47.5 (2017)"
"Buldana","45.8 (2017)"
"Akola","36.3 (2017)"
"Amravati","40.6 (2017)"
"Bhandara","34.4 (2017)"
"Gondiya","38.4 (2017)"
"Garhchiroli","49.2 (2017)"
"Chandrapur","32.4 (2017)"
"Aurangabad","44.2 (2017)"
"Ahmadnagar","42.5 (2017)"
"Bid","55 (2017)"
"Nandurbar","52.3 (2017)"
"Jalgaon","40.6 (2017)"
"Nagpur","37.4 (2017)"
"Nanded","38.5 (2017)"
"Hingoli","50.9 (2017)"
"Parbhani","39.3 (2017)"
"Jalna","34.2 (2017)"
"Nashik","43.2 (2017)"
"Mumbai Suburban","30.7 (2017)"
"Mumbai City","35.7 (2017)"
"Raigarh","40.9 (2017)"
"Pune","34.2 (2017)"
"Latur","42.3 (2017)"
"Osmanabad","41.1 (2017)"
"Kolhapur","38.4 (2017)"
"Solapur","44 (2017)"
"Satara","42.8 (2017)"
"Ratnagiri","40.3 (2017)"
"Sindhudurg","45 (2017)"
"Sangli","38.8 (2017)"
"Washim","42.3 (2017)"
"Wardha","39.5 (2017)"
"Yavatmal","34.5 (2017)"
"Thane","38.8 (2017)"
