"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Araria","47.3 (2017)"
"Banka","41 (2017)"
"Aurangabad","44.3 (2017)"
"Arwal","48.5 (2017)"
"Katihar","44 (2017)"
"Darbhanga","37.6 (2017)"
"Gopalganj","45.8 (2017)"
"Begusarai","55.8 (2017)"
"Khagaria","44.9 (2017)"
"Bhagalpur","42.6 (2017)"
"Bhojpur","38.1 (2017)"
"Buxar","42.1 (2017)"
"Kaimur","48.6 (2017)"
"Gaya","42.5 (2017)"
"Jamui","47.1 (2017)"
"Jehanabad","44.3 (2017)"
"Pashchim Champaran","44.8 (2017)"
"Purba Champaran","45.1 (2017)"
"Madhubani","44.7 (2017)"
"Kishanganj","42.7 (2017)"
"Madhepura","44.3 (2017)"
"Muzaffarpur","44.8 (2017)"
"Munger","44.2 (2017)"
"Lakhisarai","51.8 (2017)"
"Nalanda","44.9 (2017)"
"Patna","49.3 (2017)"
"Nawada","46.3 (2017)"
"Sheohar","47.6 (2017)"
"Sitamarhi","47.1 (2017)"
"Supaul","52.6 (2017)"
"Purnia","41.4 (2017)"
"Saharsa","47.6 (2017)"
"Siwan","38.5 (2017)"
"Saran","42.8 (2017)"
"Vaishali","40.4 (2017)"
"Samastipur","43 (2017)"
"Sheikhpura","43.8 (2017)"
"Rohtas","42.6 (2017)"
