"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Chatra","57.3 (2017)"
"Bokaro","53.8 (2017)"
"Garhwa","47.8 (2017)"
"Kodarma","48.1 (2017)"
"Giridih","51.3 (2017)"
"Deoghar","58.8 (2017)"
"Godda","55.9 (2017)"
"Pakur","56.6 (2017)"
"Dhanbad","61.6 (2017)"
"Lohardaga","45.3 (2017)"
"Palamu","55.5 (2017)"
"Latehar","47.7 (2017)"
"Hazaribagh","60.1 (2017)"
"Dumka","51.9 (2017)"
"Jamtara","50.2 (2017)"
"Khunti","42 (2017)"
"Gumla","41.7 (2017)"
"Sahibganj","47.8 (2017)"
"Purbi Singhbhum","41.8 (2017)"
"Ramgarh","52.3 (2017)"
"Ranchi","48.4 (2017)"
"Simdega","38.1 (2017)"
"Pashchimi Singhbhum","56.8 (2017)"
"Saraikela-kharsawan","54.7 (2017)"
