"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Aligarh","43.1 (2017)"
"Agra","38.9 (2017)"
"Allahabad","38.7 (2017)"
"Ambedkar Nagar","56.6 (2017)"
"Bijnor","48 (2017)"
"Amroha","48.2 (2017)"
"Baghpat","37.3 (2017)"
"Budaun","32.8 (2017)"
"Bareilly","39.5 (2017)"
"Auraiya","53 (2017)"
"Banda","28 (2017)"
"Bara banki","49.9 (2017)"
"Bahraich","31.4 (2017)"
"Balrampur","38 (2017)"
"Basti","48.6 (2017)"
"Azamgarh","40.5 (2017)"
"Ballia","50 (2017)"
"Ghaziabad","36 (2017)"
"Gautam Buddha Nagar","35.8 (2017)"
"Bulandshahr","29 (2017)"
"Firozabad","33.1 (2017)"
"Farrukhabad","46.1 (2017)"
"Etawah","46.3 (2017)"
"Chitrakoot","40.5 (2017)"
"Fatehpur","52.2 (2017)"
"Faizabad","40.6 (2017)"
"Deoria","32.6 (2017)"
"Ghazipur","19.9 (2017)"
"Chandauli","45.5 (2017)"
"Etah","27 (2017)"
"Hathras","44.9 (2017)"
"Hardoi","26.8 (2017)"
"Kannauj","15.9 (2017)"
"Kanpur Dehat","43.9 (2017)"
"Kanpur Nagar","28.2 (2017)"
"Jalaun","51.1 (2017)"
"Jhansi","40.4 (2017)"
"Hamirpur","41.5 (2017)"
"Gonda","44.7 (2017)"
"Gorakhpur","33.1 (2017)"
"Jaunpur","51.3 (2017)"
"Kasganj","37.1 (2017)"
"Muzaffarnagar","35 (2017)"
"Moradabad","35.3 (2017)"
"Meerut","38.2 (2017)"
"Mathura","45.3 (2017)"
"Mainpuri","44.5 (2017)"
"Kheri","28.4 (2017)"
"Lucknow","32.5 (2017)"
"Lalitpur","44.7 (2017)"
"Mahoba","38 (2017)"
"Kaushambi","42.6 (2017)"
"Mahrajganj","28.3 (2017)"
"Kushinagar","40.4 (2017)"
"Mau","35 (2017)"
"Mirzapur","28 (2017)"
"Saharanpur","36.4 (2017)"
"Rampur","35 (2017)"
"Pilibhit","45.5 (2017)"
"Shahjahanpur","40.3 (2017)"
"Sitapur","35.1 (2017)"
"Rae Bareli","40.8 (2017)"
"Pratapgarh","42 (2017)"
"Sultanpur","43.9 (2017)"
"Shrawasti","34.4 (2017)"
"Siddharth Nagar","41 (2017)"
"Sant Kabir Nagar","38.8 (2017)"
"Sant Ravidas Nagar (Bhadohi)","49.4 (2017)"
"Sonbhadra","36.7 (2017)"
"Unnao","46.6 (2017)"
"Varanasi","26 (2017)"
