"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Ajmer","61.1 (2017)"
"Ganganagar","53 (2017)"
"Hanumangarh","50 (2017)"
"Bikaner","50.3 (2017)"
"Churu","66.8 (2017)"
"Alwar","55 (2017)"
"Bharatpur","62.5 (2017)"
"Dhaulpur","70.2 (2017)"
"Dausa","69 (2017)"
"Jaipur","60.8 (2017)"
"Barmer","64.3 (2017)"
"Bundi","58 (2017)"
"Bhilwara","42.7 (2017)"
"Dungarpur","55.3 (2017)"
"Banswara","46.1 (2017)"
"Chittaurgarh","49.8 (2017)"
"Baran","51.8 (2017)"
"Jhunjhunun","65.3 (2017)"
"Karauli","58.8 (2017)"
"Sawai Madhopur","62.5 (2017)"
"Sikar","60.2 (2017)"
"Nagaur","70.4 (2017)"
"Jodhpur","57.1 (2017)"
"Jaisalmer","58.4 (2017)"
"Jalor","59.5 (2017)"
"Sirohi","46.7 (2017)"
"Pali","46.8 (2017)"
"Tonk","59.4 (2017)"
"Rajsamand","55.3 (2017)"
"Kota","58 (2017)"
"Jhalawar","55.7 (2017)"
"Pratapgarh","44.2 (2017)"
"Udaipur","53.5 (2017)"
