"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Bhind","38.3 (2017)"
"Datia","37.5 (2017)"
"Chhatarpur","43.1 (2017)"
"Damoh","40.5 (2017)"
"Dewas","41.8 (2017)"
"Dhar","32.2 (2017)"
"Barwani","36.1 (2017)"
"Bhopal","42.4 (2017)"
"Betul","35.4 (2017)"
"Dindori","32.4 (2017)"
"Chhindwara","33.6 (2017)"
"Balaghat","39.9 (2017)"
"Ashoknagar","45.1 (2017)"
"Anuppur","35.1 (2017)"
"Alirajpur","28.1 (2017)"
"Burhanpur","43.5 (2017)"
"Morena","42.9 (2017)"
"Gwalior","34.4 (2017)"
"Panna","29.2 (2017)"
"Sagar","48 (2017)"
"Satna","36.7 (2017)"
"Rewa","36.4 (2017)"
"Neemuch","42.9 (2017)"
"Mandsaur","38.4 (2017)"
"Ratlam","35.3 (2017)"
"Shajapur","43.3 (2017)"
"Indore","41.2 (2017)"
"Rajgarh","39.2 (2017)"
"Sehore","43.4 (2017)"
"Raisen","35.7 (2017)"
"Harda","29.3 (2017)"
"Hoshangabad","41 (2017)"
"Katni","31 (2017)"
"Jabalpur","41.8 (2017)"
"Narsimhapur","58.3 (2017)"
"Mandla","34 (2017)"
"Seoni","33.8 (2017)"
"Guna","37.7 (2017)"
"Shahdol","39.9 (2017)"
"Jhabua","29.4 (2017)"
"East Nimar","36.5 (2017)"
"Sheopur","36.2 (2017)"
"Shivpuri","50.6 (2017)"
"Tikamgarh","44.9 (2017)"
"Umaria","32.4 (2017)"
"Ujjain","34.1 (2017)"
"West Nimar","39.8 (2017)"
"Vidisha","28.7 (2017)"
"Sidhi","37.5 (2017)"
"Singrauli","34.1 (2017)"
