"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Belgaum","64.1 (2017)"
"Bagalkot","62 (2017)"
"Bangalore","41.7 (2017)"
"Bangalore Rural","48.9 (2017)"
"Bijapur","53.1 (2017)"
"Bidar","50.7 (2017)"
"Koppal","56.1 (2017)"
"Gadag","53.6 (2017)"
"Dharwad","53.9 (2017)"
"Haveri","48.6 (2017)"
"Bellary","60.2 (2017)"
"Chitradurga","52.2 (2017)"
"Davanagere","53.4 (2017)"
"Chikmagalur","36.7 (2017)"
"Mandya","43.9 (2017)"
"Hassan","54 (2017)"
"Dakshina Kannada","38.6 (2017)"
"Kodagu","40.1 (2017)"
"Mysore","41.7 (2017)"
"Chamarajanagar","47.3 (2017)"
"Gulbarga","47.6 (2017)"
"Kolar","41 (2017)"
"Chikkaballapura","38.3 (2017)"
"Raichur","50.5 (2017)"
"Uttara Kannada","48.5 (2017)"
"Shimoga","44.9 (2017)"
"Udupi","39.9 (2017)"
"Tumkur","50.5 (2017)"
"Yadgir","56.7 (2017)"
"Ramanagara","52.9 (2017)"
