"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Ajmer","66.3 (2017)"
"Ganganagar","46.9 (2017)"
"Hanumangarh","48.9 (2017)"
"Bikaner","53.1 (2017)"
"Churu","66.4 (2017)"
"Alwar","55.3 (2017)"
"Bharatpur","63.4 (2017)"
"Dhaulpur","70 (2017)"
"Dausa","67.8 (2017)"
"Jaipur","55.6 (2017)"
"Barmer","65 (2017)"
"Bundi","59.5 (2017)"
"Bhilwara","48 (2017)"
"Dungarpur","53.9 (2017)"
"Banswara","47.6 (2017)"
"Chittaurgarh","51.5 (2017)"
"Baran","53.9 (2017)"
"Jhunjhunun","60.4 (2017)"
"Karauli","61.1 (2017)"
"Sawai Madhopur","58.9 (2017)"
"Sikar","62.8 (2017)"
"Nagaur","70.7 (2017)"
"Jodhpur","60.5 (2017)"
"Jaisalmer","59.6 (2017)"
"Jalor","54.9 (2017)"
"Sirohi","45.6 (2017)"
"Pali","42.4 (2017)"
"Tonk","57.3 (2017)"
"Rajsamand","52.2 (2017)"
"Kota","57.7 (2017)"
"Jhalawar","61.3 (2017)"
"Pratapgarh","49.8 (2017)"
"Udaipur","51.1 (2017)"
