"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Araria","47.8 (2017)"
"Banka","40.9 (2017)"
"Aurangabad","43.5 (2017)"
"Arwal","48.9 (2017)"
"Katihar","44.5 (2017)"
"Darbhanga","37 (2017)"
"Gopalganj","45.6 (2017)"
"Begusarai","56 (2017)"
"Khagaria","42.7 (2017)"
"Bhagalpur","41.6 (2017)"
"Bhojpur","37.8 (2017)"
"Buxar","39.4 (2017)"
"Kaimur","50.1 (2017)"
"Gaya","42.1 (2017)"
"Jamui","47 (2017)"
"Jehanabad","44.1 (2017)"
"Pashchim Champaran","45.6 (2017)"
"Purba Champaran","44.6 (2017)"
"Madhubani","44.5 (2017)"
"Kishanganj","41.7 (2017)"
"Madhepura","43.6 (2017)"
"Muzaffarpur","45.6 (2017)"
"Munger","44.7 (2017)"
"Lakhisarai","50.4 (2017)"
"Nalanda","46 (2017)"
"Patna","47.9 (2017)"
"Nawada","47.8 (2017)"
"Sheohar","47.5 (2017)"
"Sitamarhi","46.3 (2017)"
"Supaul","51.3 (2017)"
"Purnia","41.4 (2017)"
"Saharsa","47.3 (2017)"
"Siwan","38.5 (2017)"
"Saran","43.5 (2017)"
"Vaishali","40.2 (2017)"
"Samastipur","42.1 (2017)"
"Sheikhpura","43 (2017)"
"Rohtas","40.5 (2017)"
