"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Chatra","59.6 (2017)"
"Bokaro","54.3 (2017)"
"Garhwa","49.8 (2017)"
"Kodarma","48.4 (2017)"
"Giridih","50.1 (2017)"
"Deoghar","58.9 (2017)"
"Godda","56.9 (2017)"
"Pakur","57.8 (2017)"
"Dhanbad","63 (2017)"
"Lohardaga","44.2 (2017)"
"Palamu","56.4 (2017)"
"Latehar","48 (2017)"
"Hazaribagh","59.4 (2017)"
"Dumka","51.8 (2017)"
"Jamtara","51.3 (2017)"
"Khunti","42 (2017)"
"Gumla","42.1 (2017)"
"Sahibganj","48.9 (2017)"
"Purbi Singhbhum","43 (2017)"
"Ramgarh","51.6 (2017)"
"Ranchi","48.5 (2017)"
"Simdega","39.9 (2017)"
"Pashchimi Singhbhum","57 (2017)"
"Saraikela-kharsawan","55.6 (2017)"
