"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Belgaum","69.5 (2017)"
"Bagalkot","73.8 (2017)"
"Bangalore","56.1 (2017)"
"Bangalore Rural","64.3 (2017)"
"Bijapur","66.4 (2017)"
"Bidar","65.9 (2017)"
"Koppal","64.3 (2017)"
"Gadag","61.8 (2017)"
"Dharwad","62.6 (2017)"
"Haveri","62.5 (2017)"
"Bellary","65.4 (2017)"
"Chitradurga","65 (2017)"
"Davanagere","64.1 (2017)"
"Chikmagalur","53.7 (2017)"
"Mandya","54.1 (2017)"
"Hassan","64.2 (2017)"
"Dakshina Kannada","61.4 (2017)"
"Kodagu","58.2 (2017)"
"Mysore","56.3 (2017)"
"Chamarajanagar","58.7 (2017)"
"Gulbarga","57 (2017)"
"Kolar","53.9 (2017)"
"Chikkaballapura","51.8 (2017)"
"Raichur","65.6 (2017)"
"Uttara Kannada","66.9 (2017)"
"Shimoga","58.4 (2017)"
"Udupi","61.6 (2017)"
"Tumkur","63.2 (2017)"
"Yadgir","68.2 (2017)"
"Ramanagara","64.2 (2017)"
