"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Dhule","65.7 (2017)"
"Buldana","65.6 (2017)"
"Akola","60.3 (2017)"
"Amravati","57.4 (2017)"
"Bhandara","58.1 (2017)"
"Gondiya","59.1 (2017)"
"Garhchiroli","62.7 (2017)"
"Chandrapur","59.3 (2017)"
"Aurangabad","65.9 (2017)"
"Ahmadnagar","68.8 (2017)"
"Bid","72.1 (2017)"
"Nandurbar","61.2 (2017)"
"Jalgaon","58 (2017)"
"Nagpur","58.1 (2017)"
"Nanded","61.1 (2017)"
"Hingoli","67.7 (2017)"
"Parbhani","63.1 (2017)"
"Jalna","56 (2017)"
"Nashik","64.2 (2017)"
"Mumbai Suburban","55.4 (2017)"
"Mumbai City","67.5 (2017)"
"Raigarh","64.7 (2017)"
"Pune","67.3 (2017)"
"Latur","65 (2017)"
"Osmanabad","67.5 (2017)"
"Kolhapur","69.9 (2017)"
"Solapur","62.2 (2017)"
"Satara","72.6 (2017)"
"Ratnagiri","71 (2017)"
"Sindhudurg","77.5 (2017)"
"Sangli","66.5 (2017)"
"Washim","59.9 (2017)"
"Wardha","59.2 (2017)"
"Yavatmal","56.4 (2017)"
"Thane","66.1 (2017)"
