"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Banas Kantha","67.9 (2017)"
"Gandhinagar","61.3 (2017)"
"Ahmadabad","63.3 (2017)"
"Amreli","61.4 (2017)"
"Bhavnagar","72 (2017)"
"Anand","63.3 (2017)"
"Dahod","68.5 (2017)"
"Bharuch","56.9 (2017)"
"Kachchh","62.7 (2017)"
"Patan","60.6 (2017)"
"Mahesana","67.3 (2017)"
"Sabar Kantha","59 (2017)"
"Surendranagar","60.7 (2017)"
"Rajkot","63 (2017)"
"Jamnagar","57.9 (2017)"
"Porbandar","62.6 (2017)"
"Junagadh","64.2 (2017)"
"Kheda","64 (2017)"
"Panch Mahals","70.8 (2017)"
"Narmada","58.4 (2017)"
"The Dangs","65 (2017)"
"Navsari","66.8 (2017)"
"Surat","65.5 (2017)"
"Tapi","65.1 (2017)"
"Vadodara","58.7 (2017)"
"Valsad","66.1 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
