"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Aligarh","58 (2017)"
"Agra","52.2 (2017)"
"Allahabad","55.7 (2017)"
"Ambedkar Nagar","65.6 (2017)"
"Bijnor","59.1 (2017)"
"Amroha","57.6 (2017)"
"Baghpat","55.5 (2017)"
"Budaun","49.5 (2017)"
"Bareilly","54.3 (2017)"
"Auraiya","61.7 (2017)"
"Banda","34.8 (2017)"
"Bara banki","64.7 (2017)"
"Bahraich","43.6 (2017)"
"Balrampur","51.9 (2017)"
"Basti","64.7 (2017)"
"Azamgarh","54.9 (2017)"
"Ballia","59.7 (2017)"
"Ghaziabad","58.5 (2017)"
"Gautam Buddha Nagar","55.5 (2017)"
"Bulandshahr","38.8 (2017)"
"Firozabad","40.2 (2017)"
"Farrukhabad","57.3 (2017)"
"Etawah","62 (2017)"
"Chitrakoot","51.3 (2017)"
"Fatehpur","63.5 (2017)"
"Faizabad","53.6 (2017)"
"Deoria","46.1 (2017)"
"Ghazipur","23.7 (2017)"
"Chandauli","53.7 (2017)"
"Etah","23.4 (2017)"
"Hathras","62.1 (2017)"
"Hardoi","36.4 (2017)"
"Kannauj","22.5 (2017)"
"Kanpur Dehat","60 (2017)"
"Kanpur Nagar","20.6 (2017)"
"Jalaun","62.4 (2017)"
"Jhansi","55.6 (2017)"
"Hamirpur","53.7 (2017)"
"Gonda","58.7 (2017)"
"Gorakhpur","49.7 (2017)"
"Jaunpur","60.6 (2017)"
"Kasganj","50.2 (2017)"
"Muzaffarnagar","48.4 (2017)"
"Moradabad","41.5 (2017)"
"Meerut","54.1 (2017)"
"Mathura","60.4 (2017)"
"Mainpuri","61.7 (2017)"
"Kheri","43.7 (2017)"
"Lucknow","51.4 (2017)"
"Lalitpur","58.8 (2017)"
"Mahoba","47.5 (2017)"
"Kaushambi","57.1 (2017)"
"Mahrajganj","37.5 (2017)"
"Kushinagar","48.5 (2017)"
"Mau","44.6 (2017)"
"Mirzapur","29.8 (2017)"
"Saharanpur","48.6 (2017)"
"Rampur","48.5 (2017)"
"Pilibhit","60.9 (2017)"
"Shahjahanpur","53 (2017)"
"Sitapur","45.7 (2017)"
"Rae Bareli","52.7 (2017)"
"Pratapgarh","59.4 (2017)"
"Sultanpur","58.2 (2017)"
"Shrawasti","44.1 (2017)"
"Siddharth Nagar","54.4 (2017)"
"Sant Kabir Nagar","55 (2017)"
"Sant Ravidas Nagar (Bhadohi)","59.5 (2017)"
"Sonbhadra","51.2 (2017)"
"Unnao","58.2 (2017)"
"Varanasi","33.5 (2017)"
