"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Dhule","63.1 (2017)"
"Buldana","63.8 (2017)"
"Akola","59 (2017)"
"Amravati","56.6 (2017)"
"Bhandara","56.7 (2017)"
"Gondiya","58.8 (2017)"
"Garhchiroli","62.7 (2017)"
"Chandrapur","56.8 (2017)"
"Aurangabad","63.1 (2017)"
"Ahmadnagar","66.7 (2017)"
"Bid","70.6 (2017)"
"Nandurbar","61.4 (2017)"
"Jalgaon","56.7 (2017)"
"Nagpur","56.1 (2017)"
"Nanded","59.5 (2017)"
"Hingoli","64.5 (2017)"
"Parbhani","64 (2017)"
"Jalna","53.8 (2017)"
"Nashik","62 (2017)"
"Mumbai Suburban","53.7 (2017)"
"Mumbai City","66 (2017)"
"Raigarh","61.7 (2017)"
"Pune","66.7 (2017)"
"Latur","64.6 (2017)"
"Osmanabad","67.2 (2017)"
"Kolhapur","68 (2017)"
"Solapur","61.3 (2017)"
"Satara","71.4 (2017)"
"Ratnagiri","70.2 (2017)"
"Sindhudurg","76.3 (2017)"
"Sangli","64.5 (2017)"
"Washim","59.5 (2017)"
"Wardha","58.7 (2017)"
"Yavatmal","55.1 (2017)"
"Thane","63.7 (2017)"
