"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Banas Kantha","67.1 (2017)"
"Gandhinagar","60.5 (2017)"
"Ahmadabad","62.5 (2017)"
"Amreli","59.6 (2017)"
"Bhavnagar","71 (2017)"
"Anand","59.5 (2017)"
"Dahod","67.7 (2017)"
"Bharuch","54.8 (2017)"
"Kachchh","60.9 (2017)"
"Patan","59.9 (2017)"
"Mahesana","65.4 (2017)"
"Sabar Kantha","58.4 (2017)"
"Surendranagar","59.8 (2017)"
"Rajkot","60.2 (2017)"
"Jamnagar","54.2 (2017)"
"Porbandar","59.7 (2017)"
"Junagadh","62.1 (2017)"
"Kheda","61.8 (2017)"
"Panch Mahals","69.3 (2017)"
"Narmada","56.1 (2017)"
"The Dangs","63.6 (2017)"
"Navsari","63.9 (2017)"
"Surat","64.9 (2017)"
"Tapi","63.4 (2017)"
"Vadodara","56.1 (2017)"
"Valsad","61.6 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
