"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Araria","58.8 (2017)"
"Banka","56.5 (2017)"
"Aurangabad","56.5 (2017)"
"Arwal","59.5 (2017)"
"Katihar","56.4 (2017)"
"Darbhanga","51.3 (2017)"
"Gopalganj","63.2 (2017)"
"Begusarai","63.3 (2017)"
"Khagaria","55.8 (2017)"
"Bhagalpur","53 (2017)"
"Bhojpur","53.8 (2017)"
"Buxar","53 (2017)"
"Kaimur","59.7 (2017)"
"Gaya","59.1 (2017)"
"Jamui","58.5 (2017)"
"Jehanabad","56.2 (2017)"
"Pashchim Champaran","55.9 (2017)"
"Purba Champaran","54.1 (2017)"
"Madhubani","56.6 (2017)"
"Kishanganj","52.4 (2017)"
"Madhepura","55 (2017)"
"Muzaffarpur","56.8 (2017)"
"Munger","57.8 (2017)"
"Lakhisarai","62.4 (2017)"
"Nalanda","58.6 (2017)"
"Patna","61.6 (2017)"
"Nawada","57.4 (2017)"
"Sheohar","59.6 (2017)"
"Sitamarhi","57.5 (2017)"
"Supaul","58.5 (2017)"
"Purnia","49.9 (2017)"
"Saharsa","57.3 (2017)"
"Siwan","51.3 (2017)"
"Saran","57.6 (2017)"
"Vaishali","52.1 (2017)"
"Samastipur","54.8 (2017)"
"Sheikhpura","55.5 (2017)"
"Rohtas","55.3 (2017)"
