"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Ajmer","74 (2017)"
"Ganganagar","59 (2017)"
"Hanumangarh","64.8 (2017)"
"Bikaner","61.3 (2017)"
"Churu","74.3 (2017)"
"Alwar","67.1 (2017)"
"Bharatpur","76.9 (2017)"
"Dhaulpur","75.8 (2017)"
"Dausa","75.1 (2017)"
"Jaipur","67.4 (2017)"
"Barmer","70.9 (2017)"
"Bundi","70.3 (2017)"
"Bhilwara","59.5 (2017)"
"Dungarpur","64.4 (2017)"
"Banswara","58.5 (2017)"
"Chittaurgarh","62.2 (2017)"
"Baran","65.3 (2017)"
"Jhunjhunun","73.2 (2017)"
"Karauli","65.9 (2017)"
"Sawai Madhopur","68.5 (2017)"
"Sikar","71.2 (2017)"
"Nagaur","75.2 (2017)"
"Jodhpur","69.3 (2017)"
"Jaisalmer","71.4 (2017)"
"Jalor","64.6 (2017)"
"Sirohi","60.1 (2017)"
"Pali","55.7 (2017)"
"Tonk","66.6 (2017)"
"Rajsamand","62.5 (2017)"
"Kota","69.5 (2017)"
"Jhalawar","69.5 (2017)"
"Pratapgarh","58.5 (2017)"
"Udaipur","61.9 (2017)"
