"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Belgaum","67.9 (2017)"
"Bagalkot","71.8 (2017)"
"Bangalore","53.5 (2017)"
"Bangalore Rural","61.9 (2017)"
"Bijapur","64.8 (2017)"
"Bidar","65.4 (2017)"
"Koppal","64.4 (2017)"
"Gadag","62 (2017)"
"Dharwad","60 (2017)"
"Haveri","61.4 (2017)"
"Bellary","66.1 (2017)"
"Chitradurga","64.6 (2017)"
"Davanagere","64.3 (2017)"
"Chikmagalur","52.6 (2017)"
"Mandya","53.4 (2017)"
"Hassan","63.2 (2017)"
"Dakshina Kannada","59 (2017)"
"Kodagu","56.2 (2017)"
"Mysore","54.2 (2017)"
"Chamarajanagar","57.6 (2017)"
"Gulbarga","56.5 (2017)"
"Kolar","52.3 (2017)"
"Chikkaballapura","49.8 (2017)"
"Raichur","64 (2017)"
"Uttara Kannada","65 (2017)"
"Shimoga","58.3 (2017)"
"Udupi","60.6 (2017)"
"Tumkur","63.5 (2017)"
"Yadgir","66.3 (2017)"
"Ramanagara","62.6 (2017)"
