"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Ajmer","72.7 (2017)"
"Ganganagar","64.6 (2017)"
"Hanumangarh","65.4 (2017)"
"Bikaner","62.4 (2017)"
"Churu","72.7 (2017)"
"Alwar","67.7 (2017)"
"Bharatpur","71.9 (2017)"
"Dhaulpur","77 (2017)"
"Dausa","73.9 (2017)"
"Jaipur","72.5 (2017)"
"Barmer","69.9 (2017)"
"Bundi","67 (2017)"
"Bhilwara","56.5 (2017)"
"Dungarpur","63.5 (2017)"
"Banswara","56.4 (2017)"
"Chittaurgarh","64.2 (2017)"
"Baran","62.6 (2017)"
"Jhunjhunun","75.4 (2017)"
"Karauli","63.7 (2017)"
"Sawai Madhopur","69.9 (2017)"
"Sikar","68.8 (2017)"
"Nagaur","76.5 (2017)"
"Jodhpur","68.4 (2017)"
"Jaisalmer","69.2 (2017)"
"Jalor","67 (2017)"
"Sirohi","60.1 (2017)"
"Pali","58.2 (2017)"
"Tonk","68.8 (2017)"
"Rajsamand","66.1 (2017)"
"Kota","69.3 (2017)"
"Jhalawar","66.1 (2017)"
"Pratapgarh","55.3 (2017)"
"Udaipur","65 (2017)"
