"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Bargarh","48.7 (2017)"
"Baleshwar","60.6 (2017)"
"Bhadrak","52.1 (2017)"
"Cuttack","63.4 (2017)"
"Anugul","54.9 (2017)"
"Baudh","48.1 (2017)"
"Balangir","56.6 (2017)"
"Jharsuguda","45.1 (2017)"
"Debagarh","50.3 (2017)"
"Kendujhar","46 (2017)"
"Kendrapara","46.4 (2017)"
"Jagatsinghapur","77 (2017)"
"Jajapur","53.8 (2017)"
"Dhenkanal","44.1 (2017)"
"Khordha","51 (2017)"
"Ganjam","56.7 (2017)"
"Gajapati","45.9 (2017)"
"Kandhamal","40.9 (2017)"
"Kalahandi","47.8 (2017)"
"Koraput","40.4 (2017)"
"Sambalpur","35.7 (2017)"
"Sundargarh","43.9 (2017)"
"Mayurbhanj","40.9 (2017)"
"Nayagarh","55.9 (2017)"
"Puri","56.1 (2017)"
"Subarnapur","47.1 (2017)"
"Nuapada","47.2 (2017)"
"Rayagada","41 (2017)"
"Nabarangapur","54.2 (2017)"
"Malkangiri","47.6 (2017)"
