"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Araria","60.9 (2017)"
"Banka","59.3 (2017)"
"Aurangabad","58 (2017)"
"Arwal","58.2 (2017)"
"Katihar","55.7 (2017)"
"Darbhanga","50.9 (2017)"
"Gopalganj","64 (2017)"
"Begusarai","59.6 (2017)"
"Khagaria","55.4 (2017)"
"Bhagalpur","58 (2017)"
"Bhojpur","51.2 (2017)"
"Buxar","48.2 (2017)"
"Kaimur","59.4 (2017)"
"Gaya","57 (2017)"
"Jamui","62 (2017)"
"Jehanabad","49.2 (2017)"
"Pashchim Champaran","61.8 (2017)"
"Purba Champaran","54.5 (2017)"
"Madhubani","56.3 (2017)"
"Kishanganj","51.1 (2017)"
"Madhepura","57.4 (2017)"
"Muzaffarpur","60.5 (2017)"
"Munger","58 (2017)"
"Lakhisarai","63.2 (2017)"
"Nalanda","57.6 (2017)"
"Patna","62.1 (2017)"
"Nawada","59.3 (2017)"
"Sheohar","57.9 (2017)"
"Sitamarhi","58 (2017)"
"Supaul","61 (2017)"
"Purnia","58.3 (2017)"
"Saharsa","54.6 (2017)"
"Siwan","59.5 (2017)"
"Saran","61.9 (2017)"
"Vaishali","52.1 (2017)"
"Samastipur","57.1 (2017)"
"Sheikhpura","50.2 (2017)"
"Rohtas","57.7 (2017)"
