"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Banas Kantha","65.6 (2017)"
"Gandhinagar","57 (2017)"
"Ahmadabad","61.4 (2017)"
"Amreli","58.6 (2017)"
"Bhavnagar","59.2 (2017)"
"Anand","47.7 (2017)"
"Dahod","68.6 (2017)"
"Bharuch","50.1 (2017)"
"Kachchh","58.1 (2017)"
"Patan","63.3 (2017)"
"Mahesana","65.1 (2017)"
"Sabar Kantha","58.7 (2017)"
"Surendranagar","51.3 (2017)"
"Rajkot","61.3 (2017)"
"Jamnagar","53.5 (2017)"
"Porbandar","56.8 (2017)"
"Junagadh","58.5 (2017)"
"Kheda","62.6 (2017)"
"Panch Mahals","67.7 (2017)"
"Narmada","50 (2017)"
"The Dangs","61.6 (2017)"
"Navsari","63.4 (2017)"
"Surat","66.7 (2017)"
"Tapi","64.8 (2017)"
"Vadodara","55.6 (2017)"
"Valsad","59.4 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
