"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Barpeta","65.2 (2017)"
"Cachar","64.8 (2017)"
"Bongaigaon","68.3 (2017)"
"Baksa","60 (2017)"
"Kokrajhar","64.8 (2017)"
"Dhubri","63.1 (2017)"
"Goalpara","54.3 (2017)"
"Morigaon","69.6 (2017)"
"Nagaon","69.7 (2017)"
"Sonitpur","53.2 (2017)"
"Lakhimpur","62.2 (2017)"
"Dhemaji","46.6 (2017)"
"Tinsukia","54.6 (2017)"
"Dibrugarh","49.2 (2017)"
"Sivasagar","56.6 (2017)"
"Jorhat","48.8 (2017)"
"Golaghat","51.7 (2017)"
"Karbi Anglong","50.5 (2017)"
"Dima Hasao","58 (2017)"
"Karimganj","64 (2017)"
"Hailakandi","67.8 (2017)"
"Chirang","57.3 (2017)"
"Kamrup","56.5 (2017)"
"Kamrup Metropolitan","56.4 (2017)"
"Nalbari","58.1 (2017)"
"Darrang","61.2 (2017)"
"Udalguri","60.6 (2017)"
