"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Belgaum","78.1 (2017)"
"Bagalkot","80.4 (2017)"
"Bangalore","68.7 (2017)"
"Bangalore Rural","72.3 (2017)"
"Bijapur","74.1 (2017)"
"Bidar","68.2 (2017)"
"Koppal","74.4 (2017)"
"Gadag","78.8 (2017)"
"Dharwad","71.8 (2017)"
"Haveri","73.5 (2017)"
"Bellary","73.4 (2017)"
"Chitradurga","76.8 (2017)"
"Davanagere","73.6 (2017)"
"Chikmagalur","63.9 (2017)"
"Mandya","69.7 (2017)"
"Hassan","77.5 (2017)"
"Dakshina Kannada","70.6 (2017)"
"Kodagu","66.1 (2017)"
"Mysore","63.8 (2017)"
"Chamarajanagar","69.6 (2017)"
"Gulbarga","64.5 (2017)"
"Kolar","67 (2017)"
"Chikkaballapura","65.8 (2017)"
"Raichur","78 (2017)"
"Uttara Kannada","79.5 (2017)"
"Shimoga","67 (2017)"
"Udupi","70.5 (2017)"
"Tumkur","75.3 (2017)"
"Yadgir","75.4 (2017)"
"Ramanagara","70.4 (2017)"
