"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Aligarh","66 (2017)"
"Agra","57.4 (2017)"
"Allahabad","56.8 (2017)"
"Ambedkar Nagar","71.3 (2017)"
"Bijnor","63.1 (2017)"
"Amroha","66.5 (2017)"
"Baghpat","61.1 (2017)"
"Budaun","50.2 (2017)"
"Bareilly","51.5 (2017)"
"Auraiya","60.6 (2017)"
"Banda","38.5 (2017)"
"Bara banki","66.9 (2017)"
"Bahraich","49.7 (2017)"
"Balrampur","54.1 (2017)"
"Basti","42.5 (2017)"
"Azamgarh","63.9 (2017)"
"Ballia","46.3 (2017)"
"Ghaziabad","61.4 (2017)"
"Gautam Buddha Nagar","66.4 (2017)"
"Bulandshahr","44.5 (2017)"
"Firozabad","56.6 (2017)"
"Farrukhabad","52.8 (2017)"
"Etawah","64.6 (2017)"
"Chitrakoot","60.1 (2017)"
"Fatehpur","21.1 (2017)"
"Faizabad","56.7 (2017)"
"Deoria","57 (2017)"
"Ghazipur","56.1 (2017)"
"Chandauli","57.8 (2017)"
"Etah","51.8 (2017)"
"Hathras","36.1 (2017)"
"Hardoi","50 (2017)"
"Kannauj","41.3 (2017)"
"Kanpur Dehat","30.6 (2017)"
"Kanpur Nagar","57 (2017)"
"Jalaun","53.5 (2017)"
"Jhansi","43.5 (2017)"
"Hamirpur","50.9 (2017)"
"Gonda","59.9 (2017)"
"Gorakhpur","54.2 (2017)"
"Jaunpur","57.6 (2017)"
"Kasganj","35.5 (2017)"
"Muzaffarnagar","25.6 (2017)"
"Moradabad","61.4 (2017)"
"Meerut","62.6 (2017)"
"Mathura","40.9 (2017)"
"Mainpuri","30.4 (2017)"
"Kheri","27.9 (2017)"
"Lucknow","31.6 (2017)"
"Lalitpur","52.1 (2017)"
"Mahoba","40.3 (2017)"
"Kaushambi","18.5 (2017)"
"Mahrajganj","27.2 (2017)"
"Kushinagar","57 (2017)"
"Mau","34.3 (2017)"
"Mirzapur","56.5 (2017)"
"Saharanpur","28 (2017)"
"Rampur","51.7 (2017)"
"Pilibhit","49.2 (2017)"
"Shahjahanpur","50.1 (2017)"
"Sitapur","57.6 (2017)"
"Rae Bareli","34.9 (2017)"
"Pratapgarh","46.1 (2017)"
"Sultanpur","37.5 (2017)"
"Shrawasti","39.1 (2017)"
"Siddharth Nagar","59.2 (2017)"
"Sant Kabir Nagar","56.1 (2017)"
"Sant Ravidas Nagar (Bhadohi)","58 (2017)"
"Sonbhadra","38.7 (2017)"
"Unnao","51.3 (2017)"
"Varanasi","26.9 (2017)"
