"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Bargarh","51 (2017)"
"Baleshwar","59.4 (2017)"
"Bhadrak","54.8 (2017)"
"Cuttack","64.9 (2017)"
"Anugul","57.8 (2017)"
"Baudh","49.5 (2017)"
"Balangir","56.2 (2017)"
"Jharsuguda","49.3 (2017)"
"Debagarh","50.4 (2017)"
"Kendujhar","46.4 (2017)"
"Kendrapara","50.4 (2017)"
"Jagatsinghapur","74.4 (2017)"
"Jajapur","56.1 (2017)"
"Dhenkanal","48.9 (2017)"
"Khordha","54.7 (2017)"
"Ganjam","60.3 (2017)"
"Gajapati","44.4 (2017)"
"Kandhamal","43.1 (2017)"
"Kalahandi","49.4 (2017)"
"Koraput","37 (2017)"
"Sambalpur","37.4 (2017)"
"Sundargarh","46.4 (2017)"
"Mayurbhanj","42.9 (2017)"
"Nayagarh","58.3 (2017)"
"Puri","59.2 (2017)"
"Subarnapur","46.2 (2017)"
"Nuapada","48.7 (2017)"
"Rayagada","39.3 (2017)"
"Nabarangapur","55.3 (2017)"
"Malkangiri","51.9 (2017)"
