"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Chatra","60.3 (2017)"
"Bokaro","59.5 (2017)"
"Garhwa","63.3 (2017)"
"Kodarma","55.8 (2017)"
"Giridih","56.9 (2017)"
"Deoghar","65.5 (2017)"
"Godda","67.8 (2017)"
"Pakur","61.9 (2017)"
"Dhanbad","67.2 (2017)"
"Lohardaga","60 (2017)"
"Palamu","63.8 (2017)"
"Latehar","56.6 (2017)"
"Hazaribagh","66.4 (2017)"
"Dumka","63.7 (2017)"
"Jamtara","56.5 (2017)"
"Khunti","64.5 (2017)"
"Gumla","64.9 (2017)"
"Sahibganj","55.9 (2017)"
"Purbi Singhbhum","55.9 (2017)"
"Ramgarh","65.3 (2017)"
"Ranchi","62.8 (2017)"
"Simdega","60.7 (2017)"
"Pashchimi Singhbhum","67.6 (2017)"
"Saraikela-kharsawan","60.4 (2017)"
