"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Dhule","63.4 (2017)"
"Buldana","59.4 (2017)"
"Akola","59.9 (2017)"
"Amravati","54.1 (2017)"
"Bhandara","54.1 (2017)"
"Gondiya","50.6 (2017)"
"Garhchiroli","68 (2017)"
"Chandrapur","46.9 (2017)"
"Aurangabad","57.3 (2017)"
"Ahmadnagar","63.9 (2017)"
"Bid","65.3 (2017)"
"Nandurbar","60.5 (2017)"
"Jalgaon","60 (2017)"
"Nagpur","53.7 (2017)"
"Nanded","58.9 (2017)"
"Hingoli","69.7 (2017)"
"Parbhani","63.1 (2017)"
"Jalna","52.3 (2017)"
"Nashik","58.1 (2017)"
"Mumbai Suburban","48.7 (2017)"
"Mumbai City","54.8 (2017)"
"Raigarh","54.6 (2017)"
"Pune","61.2 (2017)"
"Latur","58.6 (2017)"
"Osmanabad","64.4 (2017)"
"Kolhapur","61.5 (2017)"
"Solapur","62.4 (2017)"
"Satara","65.3 (2017)"
"Ratnagiri","71 (2017)"
"Sindhudurg","73 (2017)"
"Sangli","61.8 (2017)"
"Washim","63.4 (2017)"
"Wardha","48.4 (2017)"
"Yavatmal","49.2 (2017)"
"Thane","54.7 (2017)"
