"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Aligarh","66.4 (2017)"
"Agra","58.5 (2017)"
"Allahabad","57.3 (2017)"
"Ambedkar Nagar","71 (2017)"
"Bijnor","63 (2017)"
"Amroha","64.9 (2017)"
"Baghpat","60.3 (2017)"
"Budaun","49.2 (2017)"
"Bareilly","50.7 (2017)"
"Auraiya","62 (2017)"
"Banda","39.2 (2017)"
"Bara banki","66.3 (2017)"
"Bahraich","50.3 (2017)"
"Balrampur","55.6 (2017)"
"Basti","43.6 (2017)"
"Azamgarh","63.8 (2017)"
"Ballia","46.6 (2017)"
"Ghaziabad","61.8 (2017)"
"Gautam Buddha Nagar","66.9 (2017)"
"Bulandshahr","45 (2017)"
"Firozabad","54.9 (2017)"
"Farrukhabad","52.5 (2017)"
"Etawah","65.3 (2017)"
"Chitrakoot","60.5 (2017)"
"Fatehpur","20.7 (2017)"
"Faizabad","56.6 (2017)"
"Deoria","57.3 (2017)"
"Ghazipur","54.8 (2017)"
"Chandauli","58.4 (2017)"
"Etah","45.3 (2017)"
"Hathras","36.1 (2017)"
"Hardoi","48.4 (2017)"
"Kannauj","38.7 (2017)"
"Kanpur Dehat","30 (2017)"
"Kanpur Nagar","57 (2017)"
"Jalaun","54 (2017)"
"Jhansi","45.4 (2017)"
"Hamirpur","51.2 (2017)"
"Gonda","60.4 (2017)"
"Gorakhpur","52.5 (2017)"
"Jaunpur","56.6 (2017)"
"Kasganj","36.4 (2017)"
"Muzaffarnagar","25.5 (2017)"
"Moradabad","61.6 (2017)"
"Meerut","60.4 (2017)"
"Mathura","42.1 (2017)"
"Mainpuri","31.4 (2017)"
"Kheri","27.4 (2017)"
"Lucknow","30.9 (2017)"
"Lalitpur","52.2 (2017)"
"Mahoba","41.3 (2017)"
"Kaushambi","17.2 (2017)"
"Mahrajganj","27.2 (2017)"
"Kushinagar","58.7 (2017)"
"Mau","34 (2017)"
"Mirzapur","56 (2017)"
"Saharanpur","27.5 (2017)"
"Rampur","52.3 (2017)"
"Pilibhit","50.5 (2017)"
"Shahjahanpur","50.8 (2017)"
"Sitapur","58.5 (2017)"
"Rae Bareli","34.9 (2017)"
"Pratapgarh","46.7 (2017)"
"Sultanpur","38.4 (2017)"
"Shrawasti","41.1 (2017)"
"Siddharth Nagar","59.2 (2017)"
"Sant Kabir Nagar","54.1 (2017)"
"Sant Ravidas Nagar (Bhadohi)","57.5 (2017)"
"Sonbhadra","37.6 (2017)"
"Unnao","47.6 (2017)"
"Varanasi","25.8 (2017)"
