"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Araria","59.6 (2017)"
"Banka","58.9 (2017)"
"Aurangabad","58.4 (2017)"
"Arwal","57.3 (2017)"
"Katihar","55.8 (2017)"
"Darbhanga","50.3 (2017)"
"Gopalganj","64 (2017)"
"Begusarai","60.6 (2017)"
"Khagaria","56 (2017)"
"Bhagalpur","58.1 (2017)"
"Bhojpur","52.5 (2017)"
"Buxar","48.8 (2017)"
"Kaimur","58.2 (2017)"
"Gaya","57.3 (2017)"
"Jamui","61.7 (2017)"
"Jehanabad","50.1 (2017)"
"Pashchim Champaran","61.6 (2017)"
"Purba Champaran","54.3 (2017)"
"Madhubani","57.3 (2017)"
"Kishanganj","50.5 (2017)"
"Madhepura","58.4 (2017)"
"Muzaffarpur","59.2 (2017)"
"Munger","57 (2017)"
"Lakhisarai","63 (2017)"
"Nalanda","58 (2017)"
"Patna","62.9 (2017)"
"Nawada","59.7 (2017)"
"Sheohar","58.6 (2017)"
"Sitamarhi","55.8 (2017)"
"Supaul","61.1 (2017)"
"Purnia","58.1 (2017)"
"Saharsa","52.7 (2017)"
"Siwan","60.7 (2017)"
"Saran","61.3 (2017)"
"Vaishali","52 (2017)"
"Samastipur","57.7 (2017)"
"Sheikhpura","48.8 (2017)"
"Rohtas","58.2 (2017)"
