"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Chennai","51.2 (2017)"
"Kancheepuram","61.9 (2017)"
"Erode","64.5 (2017)"
"Dindigul","62.5 (2017)"
"Cuddalore","51.3 (2017)"
"Kanniyakumari","58.2 (2017)"
"Dharmapuri","59.9 (2017)"
"Coimbatore","54.2 (2017)"
"Thiruvallur","59.5 (2017)"
"Salem","52.7 (2017)"
"Namakkal","54.3 (2017)"
"The Nilgiris","52.1 (2017)"
"Karur","57.3 (2017)"
"Perambalur","63.7 (2017)"
"Nagappattinam","58.1 (2017)"
"Thiruvarur","56.5 (2017)"
"Thanjavur","55.9 (2017)"
"Pudukkottai","59.3 (2017)"
"Sivaganga","60.4 (2017)"
"Madurai","51 (2017)"
"Theni","53.9 (2017)"
"Ramanathapuram","60.6 (2017)"
"Vellore","58.4 (2017)"
"Tiruvannamalai","56.1 (2017)"
"Viluppuram","59.4 (2017)"
"Tiruchirappalli","50.7 (2017)"
"Virudunagar","55.1 (2017)"
"Thoothukkudi","58 (2017)"
"Tirunelveli","59.9 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
