"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Barpeta","65.1 (2017)"
"Cachar","64.6 (2017)"
"Bongaigaon","66.8 (2017)"
"Baksa","60.4 (2017)"
"Kokrajhar","67.3 (2017)"
"Dhubri","61.8 (2017)"
"Goalpara","56.4 (2017)"
"Morigaon","70.2 (2017)"
"Nagaon","70.2 (2017)"
"Sonitpur","53.5 (2017)"
"Lakhimpur","63 (2017)"
"Dhemaji","46.2 (2017)"
"Tinsukia","54.4 (2017)"
"Dibrugarh","51.1 (2017)"
"Sivasagar","58.1 (2017)"
"Jorhat","52.9 (2017)"
"Golaghat","55.2 (2017)"
"Karbi Anglong","51.7 (2017)"
"Dima Hasao","63.1 (2017)"
"Karimganj","67.2 (2017)"
"Hailakandi","67.1 (2017)"
"Chirang","57.5 (2017)"
"Kamrup","57.8 (2017)"
"Kamrup Metropolitan","61.2 (2017)"
"Nalbari","58.8 (2017)"
"Darrang","60.9 (2017)"
"Udalguri","58.6 (2017)"
