"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Araria","53.8 (2017)"
"Banka","49.2 (2017)"
"Aurangabad","56 (2017)"
"Arwal","55.6 (2017)"
"Katihar","51.9 (2017)"
"Darbhanga","43.7 (2017)"
"Gopalganj","54.5 (2017)"
"Begusarai","50.8 (2017)"
"Khagaria","52.1 (2017)"
"Bhagalpur","52.1 (2017)"
"Bhojpur","48.2 (2017)"
"Buxar","47.6 (2017)"
"Kaimur","57.7 (2017)"
"Gaya","53.4 (2017)"
"Jamui","49.7 (2017)"
"Jehanabad","48.5 (2017)"
"Pashchim Champaran","54 (2017)"
"Purba Champaran","49.3 (2017)"
"Madhubani","51 (2017)"
"Kishanganj","48 (2017)"
"Madhepura","51.3 (2017)"
"Muzaffarpur","50.8 (2017)"
"Munger","49.3 (2017)"
"Lakhisarai","54.4 (2017)"
"Nalanda","53.3 (2017)"
"Patna","51.9 (2017)"
"Nawada","53.8 (2017)"
"Sheohar","55.5 (2017)"
"Sitamarhi","48.2 (2017)"
"Supaul","53.9 (2017)"
"Purnia","54.3 (2017)"
"Saharsa","45.4 (2017)"
"Siwan","56.9 (2017)"
"Saran","56.1 (2017)"
"Vaishali","48.5 (2017)"
"Samastipur","54.3 (2017)"
"Sheikhpura","47.6 (2017)"
"Rohtas","52 (2017)"
