"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Chennai","44.4 (2017)"
"Kancheepuram","51.7 (2017)"
"Erode","53 (2017)"
"Dindigul","53.1 (2017)"
"Cuddalore","43.6 (2017)"
"Kanniyakumari","51.6 (2017)"
"Dharmapuri","56.7 (2017)"
"Coimbatore","50 (2017)"
"Thiruvallur","53.5 (2017)"
"Salem","52.2 (2017)"
"Namakkal","47.6 (2017)"
"The Nilgiris","46.5 (2017)"
"Karur","49.1 (2017)"
"Perambalur","61.2 (2017)"
"Nagappattinam","44.8 (2017)"
"Thiruvarur","45.2 (2017)"
"Thanjavur","47.5 (2017)"
"Pudukkottai","48.3 (2017)"
"Sivaganga","54.8 (2017)"
"Madurai","42.2 (2017)"
"Theni","42.6 (2017)"
"Ramanathapuram","56 (2017)"
"Vellore","51.5 (2017)"
"Tiruvannamalai","49.8 (2017)"
"Viluppuram","55.8 (2017)"
"Tiruchirappalli","39.2 (2017)"
"Virudunagar","43.5 (2017)"
"Thoothukkudi","49.2 (2017)"
"Tirunelveli","50.9 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
