"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Belgaum","74 (2017)"
"Bagalkot","75.1 (2017)"
"Bangalore","60.5 (2017)"
"Bangalore Rural","68.4 (2017)"
"Bijapur","71.9 (2017)"
"Bidar","58.6 (2017)"
"Koppal","68.5 (2017)"
"Gadag","73.5 (2017)"
"Dharwad","69.3 (2017)"
"Haveri","70.1 (2017)"
"Bellary","70.9 (2017)"
"Chitradurga","70.3 (2017)"
"Davanagere","74.4 (2017)"
"Chikmagalur","59.3 (2017)"
"Mandya","61.9 (2017)"
"Hassan","73.2 (2017)"
"Dakshina Kannada","59 (2017)"
"Kodagu","59.8 (2017)"
"Mysore","60.5 (2017)"
"Chamarajanagar","60.9 (2017)"
"Gulbarga","59.2 (2017)"
"Kolar","63.2 (2017)"
"Chikkaballapura","62.8 (2017)"
"Raichur","71.7 (2017)"
"Uttara Kannada","71.3 (2017)"
"Shimoga","56.5 (2017)"
"Udupi","58.7 (2017)"
"Tumkur","66.3 (2017)"
"Yadgir","71.2 (2017)"
"Ramanagara","69.1 (2017)"
