"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Chatra","56.7 (2017)"
"Bokaro","58.7 (2017)"
"Garhwa","59.5 (2017)"
"Kodarma","53.4 (2017)"
"Giridih","52.5 (2017)"
"Deoghar","58.2 (2017)"
"Godda","62.8 (2017)"
"Pakur","59.1 (2017)"
"Dhanbad","63.1 (2017)"
"Lohardaga","51.4 (2017)"
"Palamu","60.4 (2017)"
"Latehar","52.9 (2017)"
"Hazaribagh","59.3 (2017)"
"Dumka","58.6 (2017)"
"Jamtara","51 (2017)"
"Khunti","52.8 (2017)"
"Gumla","52.5 (2017)"
"Sahibganj","46.9 (2017)"
"Purbi Singhbhum","46.8 (2017)"
"Ramgarh","60 (2017)"
"Ranchi","57.4 (2017)"
"Simdega","50.2 (2017)"
"Pashchimi Singhbhum","58.4 (2017)"
"Saraikela-kharsawan","63.8 (2017)"
