"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Banas Kantha","64.6 (2017)"
"Gandhinagar","56 (2017)"
"Ahmadabad","56.7 (2017)"
"Amreli","56.2 (2017)"
"Bhavnagar","62.3 (2017)"
"Anand","37.6 (2017)"
"Dahod","63.3 (2017)"
"Bharuch","47.1 (2017)"
"Kachchh","54.3 (2017)"
"Patan","60.2 (2017)"
"Mahesana","61.9 (2017)"
"Sabar Kantha","55.7 (2017)"
"Surendranagar","48.7 (2017)"
"Rajkot","59.1 (2017)"
"Jamnagar","49.3 (2017)"
"Porbandar","55.5 (2017)"
"Junagadh","57.6 (2017)"
"Kheda","62.1 (2017)"
"Panch Mahals","66.1 (2017)"
"Narmada","46.6 (2017)"
"The Dangs","57.5 (2017)"
"Navsari","61.4 (2017)"
"Surat","62.6 (2017)"
"Tapi","58.6 (2017)"
"Vadodara","53.3 (2017)"
"Valsad","53.2 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
