"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Dhule","56.8 (2017)"
"Buldana","51 (2017)"
"Akola","51 (2017)"
"Amravati","43.7 (2017)"
"Bhandara","49 (2017)"
"Gondiya","41.1 (2017)"
"Garhchiroli","63.7 (2017)"
"Chandrapur","40.9 (2017)"
"Aurangabad","53.7 (2017)"
"Ahmadnagar","54.6 (2017)"
"Bid","57.1 (2017)"
"Nandurbar","56.4 (2017)"
"Jalgaon","53.3 (2017)"
"Nagpur","48.8 (2017)"
"Nanded","53.8 (2017)"
"Hingoli","62.8 (2017)"
"Parbhani","55.8 (2017)"
"Jalna","45.9 (2017)"
"Nashik","51 (2017)"
"Mumbai Suburban","42.7 (2017)"
"Mumbai City","43.9 (2017)"
"Raigarh","50.2 (2017)"
"Pune","49.4 (2017)"
"Latur","55 (2017)"
"Osmanabad","57.1 (2017)"
"Kolhapur","52.2 (2017)"
"Solapur","54.1 (2017)"
"Satara","54.3 (2017)"
"Ratnagiri","63.7 (2017)"
"Sindhudurg","63.2 (2017)"
"Sangli","51.5 (2017)"
"Washim","57.8 (2017)"
"Wardha","39.3 (2017)"
"Yavatmal","40.4 (2017)"
"Thane","50.5 (2017)"
