"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Bhind","48.1 (2017)"
"Datia","48 (2017)"
"Chhatarpur","51 (2017)"
"Damoh","51.8 (2017)"
"Dewas","57.4 (2017)"
"Dhar","38.5 (2017)"
"Barwani","48.3 (2017)"
"Bhopal","51.5 (2017)"
"Betul","48.1 (2017)"
"Dindori","42 (2017)"
"Chhindwara","48.6 (2017)"
"Balaghat","49.3 (2017)"
"Ashoknagar","48.8 (2017)"
"Anuppur","46.5 (2017)"
"Alirajpur","39.9 (2017)"
"Burhanpur","55.2 (2017)"
"Morena","49.3 (2017)"
"Gwalior","53 (2017)"
"Panna","36.4 (2017)"
"Sagar","60.6 (2017)"
"Satna","42 (2017)"
"Rewa","46.9 (2017)"
"Neemuch","45.6 (2017)"
"Mandsaur","46.4 (2017)"
"Ratlam","44.8 (2017)"
"Shajapur","52.2 (2017)"
"Indore","56.7 (2017)"
"Rajgarh","47.4 (2017)"
"Sehore","51.1 (2017)"
"Raisen","48.7 (2017)"
"Harda","48.8 (2017)"
"Hoshangabad","52 (2017)"
"Katni","40.9 (2017)"
"Jabalpur","47.4 (2017)"
"Narsimhapur","63.7 (2017)"
"Mandla","47.9 (2017)"
"Seoni","54.9 (2017)"
"Guna","47.2 (2017)"
"Shahdol","59.7 (2017)"
"Jhabua","42.6 (2017)"
"East Nimar","51.2 (2017)"
"Sheopur","40.6 (2017)"
"Shivpuri","52.8 (2017)"
"Tikamgarh","0 (2017)"
"Umaria","42.4 (2017)"
"Ujjain","40.2 (2017)"
"West Nimar","45.9 (2017)"
"Vidisha","49 (2017)"
"Sidhi","45 (2017)"
"Singrauli","42.1 (2017)"
