"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Bhind","49.7 (2017)"
"Datia","46 (2017)"
"Chhatarpur","51.1 (2017)"
"Damoh","52.1 (2017)"
"Dewas","56.4 (2017)"
"Dhar","39 (2017)"
"Barwani","48.9 (2017)"
"Bhopal","51.1 (2017)"
"Betul","47.2 (2017)"
"Dindori","44.6 (2017)"
"Chhindwara","49.3 (2017)"
"Balaghat","48.5 (2017)"
"Ashoknagar","48.1 (2017)"
"Anuppur","45 (2017)"
"Alirajpur","38.1 (2017)"
"Burhanpur","53.8 (2017)"
"Morena","49.7 (2017)"
"Gwalior","52.4 (2017)"
"Panna","37.8 (2017)"
"Sagar","59.5 (2017)"
"Satna","41.5 (2017)"
"Rewa","46.9 (2017)"
"Neemuch","46.9 (2017)"
"Mandsaur","45.9 (2017)"
"Ratlam","44.4 (2017)"
"Shajapur","50.6 (2017)"
"Indore","57.4 (2017)"
"Rajgarh","51.1 (2017)"
"Sehore","49 (2017)"
"Raisen","48.8 (2017)"
"Harda","48.7 (2017)"
"Hoshangabad","51.6 (2017)"
"Katni","42 (2017)"
"Jabalpur","47.5 (2017)"
"Narsimhapur","61.8 (2017)"
"Mandla","47.8 (2017)"
"Seoni","54.1 (2017)"
"Guna","45.8 (2017)"
"Shahdol","57.6 (2017)"
"Jhabua","41.7 (2017)"
"East Nimar","50.7 (2017)"
"Sheopur","39.5 (2017)"
"Shivpuri","51.7 (2017)"
"Tikamgarh","49.7 (2017)"
"Umaria","41.9 (2017)"
"Ujjain","40.7 (2017)"
"West Nimar","44.5 (2017)"
"Vidisha","49 (2017)"
"Sidhi","45 (2017)"
"Singrauli","41.6 (2017)"
