"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Dhule","57.2 (2017)"
"Buldana","52.6 (2017)"
"Akola","52.5 (2017)"
"Amravati","45.5 (2017)"
"Bhandara","49.8 (2017)"
"Gondiya","43.4 (2017)"
"Garhchiroli","62.9 (2017)"
"Chandrapur","43.2 (2017)"
"Aurangabad","54.8 (2017)"
"Ahmadnagar","56.1 (2017)"
"Bid","57.9 (2017)"
"Nandurbar","56.4 (2017)"
"Jalgaon","53.8 (2017)"
"Nagpur","48.7 (2017)"
"Nanded","54.5 (2017)"
"Hingoli","63.7 (2017)"
"Parbhani","55 (2017)"
"Jalna","45.8 (2017)"
"Nashik","49.8 (2017)"
"Mumbai Suburban","41.9 (2017)"
"Mumbai City","45.2 (2017)"
"Raigarh","51.8 (2017)"
"Pune","49.1 (2017)"
"Latur","54.6 (2017)"
"Osmanabad","57.5 (2017)"
"Kolhapur","53.9 (2017)"
"Solapur","54.3 (2017)"
"Satara","55.9 (2017)"
"Ratnagiri","64.3 (2017)"
"Sindhudurg","62.4 (2017)"
"Sangli","51.1 (2017)"
"Washim","56.6 (2017)"
"Wardha","40.4 (2017)"
"Yavatmal","40.6 (2017)"
"Thane","50.4 (2017)"
