"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Bargarh","53.3 (2017)"
"Baleshwar","62 (2017)"
"Bhadrak","64.2 (2017)"
"Cuttack","71 (2017)"
"Anugul","63.6 (2017)"
"Baudh","49.8 (2017)"
"Balangir","57.6 (2017)"
"Jharsuguda","51.2 (2017)"
"Debagarh","52.5 (2017)"
"Kendujhar","50.7 (2017)"
"Kendrapara","55.9 (2017)"
"Jagatsinghapur","85.6 (2017)"
"Jajapur","59.8 (2017)"
"Dhenkanal","52 (2017)"
"Khordha","57.9 (2017)"
"Ganjam","71.6 (2017)"
"Gajapati","47.4 (2017)"
"Kandhamal","46.5 (2017)"
"Kalahandi","48.1 (2017)"
"Koraput","40.1 (2017)"
"Sambalpur","39.5 (2017)"
"Sundargarh","48.8 (2017)"
"Mayurbhanj","43.4 (2017)"
"Nayagarh","66.4 (2017)"
"Puri","62.2 (2017)"
"Subarnapur","52.2 (2017)"
"Nuapada","55.5 (2017)"
"Rayagada","40.3 (2017)"
"Nabarangapur","63.9 (2017)"
"Malkangiri","52.3 (2017)"
