"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Aligarh","54.5 (2017)"
"Agra","51.7 (2017)"
"Allahabad","47.5 (2017)"
"Ambedkar Nagar","68.7 (2017)"
"Bijnor","56.3 (2017)"
"Amroha","57.7 (2017)"
"Baghpat","57.7 (2017)"
"Budaun","41 (2017)"
"Bareilly","55.8 (2017)"
"Auraiya","53.6 (2017)"
"Banda","46.6 (2017)"
"Bara banki","60.9 (2017)"
"Bahraich","54.6 (2017)"
"Balrampur","44 (2017)"
"Basti","31.4 (2017)"
"Azamgarh","60.5 (2017)"
"Ballia","43.8 (2017)"
"Ghaziabad","54.4 (2017)"
"Gautam Buddha Nagar","56.6 (2017)"
"Bulandshahr","46.7 (2017)"
"Firozabad","48.6 (2017)"
"Farrukhabad","46.8 (2017)"
"Etawah","55.3 (2017)"
"Chitrakoot","55 (2017)"
"Fatehpur","24.7 (2017)"
"Faizabad","38.8 (2017)"
"Deoria","50.3 (2017)"
"Ghazipur","51.7 (2017)"
"Chandauli","51.7 (2017)"
"Etah","55.5 (2017)"
"Hathras","47.7 (2017)"
"Hardoi","45.1 (2017)"
"Kannauj","43.6 (2017)"
"Kanpur Dehat","47.8 (2017)"
"Kanpur Nagar","49.6 (2017)"
"Jalaun","56.1 (2017)"
"Jhansi","53.1 (2017)"
"Hamirpur","44.7 (2017)"
"Gonda","52.8 (2017)"
"Gorakhpur","46.2 (2017)"
"Jaunpur","60 (2017)"
"Kasganj","46.5 (2017)"
"Muzaffarnagar","56.1 (2017)"
"Moradabad","53.9 (2017)"
"Meerut","62.2 (2017)"
"Mathura","51.3 (2017)"
"Mainpuri","42.3 (2017)"
"Kheri","24.6 (2017)"
"Lucknow","36.9 (2017)"
"Lalitpur","46.8 (2017)"
"Mahoba","54.4 (2017)"
"Kaushambi","25.3 (2017)"
"Mahrajganj","52.6 (2017)"
"Kushinagar","48.3 (2017)"
"Mau","29.2 (2017)"
"Mirzapur","50.4 (2017)"
"Saharanpur","53.6 (2017)"
"Rampur","45.4 (2017)"
"Pilibhit","40.2 (2017)"
"Shahjahanpur","49 (2017)"
"Sitapur","47.7 (2017)"
"Rae Bareli","54.3 (2017)"
"Pratapgarh","48.5 (2017)"
"Sultanpur","43.9 (2017)"
"Shrawasti","31.8 (2017)"
"Siddharth Nagar","41.7 (2017)"
"Sant Kabir Nagar","53.2 (2017)"
"Sant Ravidas Nagar (Bhadohi)","57.2 (2017)"
"Sonbhadra","43 (2017)"
"Unnao","49.3 (2017)"
"Varanasi","46.5 (2017)"
